127.0.0.1 - - [27/Jul/2017:00:01:19 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [27/Jul/2017:00:01:20 +0800] "GET /Paws/SystemsLoader HTTP/1.1" 200 595
0:0:0:0:0:0:0:1 - - [27/Jul/2017:00:02:10 +0800] "GET /Paws/InstitutionsLoader?systemID=1 HTTP/1.1" 200 400
0:0:0:0:0:0:0:1 - - [27/Jul/2017:00:04:28 +0800] "GET /Paws/addAccreditor.html HTTP/1.1" 200 30446
0:0:0:0:0:0:0:1 - - [27/Jul/2017:00:04:28 +0800] "GET /Paws/SystemsLoader HTTP/1.1" 200 595
0:0:0:0:0:0:0:1 - - [27/Jul/2017:00:04:35 +0800] "GET /Paws/css/bootstrap.css.map HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [27/Jul/2017:00:04:35 +0800] "GET /Paws/css/bootstrap-datepicker.css.map HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [27/Jul/2017:00:05:36 +0800] "GET /Paws/addAccreditor.html HTTP/1.1" 200 26300
0:0:0:0:0:0:0:1 - - [27/Jul/2017:00:05:37 +0800] "GET /Paws/css/bootstrap.css.map HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [27/Jul/2017:00:05:37 +0800] "GET /Paws/css/bootstrap-datepicker.css.map HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [27/Jul/2017:00:05:37 +0800] "GET /Paws/SystemsLoader HTTP/1.1" 200 595
0:0:0:0:0:0:0:1 - - [27/Jul/2017:00:05:42 +0800] "GET /Paws/InstitutionsLoader?systemID=4 HTTP/1.1" 200 170
0:0:0:0:0:0:0:1 - - [27/Jul/2017:00:17:10 +0800] "POST /Paws/AddAccreditor?honorifics=Mr.&firstName=jhghjghg&middleName=g&lastName=gjhgjhg&email=gjhgj&contact=789789&address=hgjhgj&city=hghjgjh&country=gjhghjg&discipline=jhghjgjh&venue_trained=gjhgjhg&date_trained=July%2027%2C%202017&primaryArea=Faculty&secondaryArea=Faculty&tertiaryArea=Faculty HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [27/Jul/2017:00:17:11 +0800] "GET /Paws/Accreditors HTTP/1.1" 200 28897
0:0:0:0:0:0:0:1 - - [27/Jul/2017:00:17:12 +0800] "GET /Paws/images/sort_both.png HTTP/1.1" 404 1044
