127.0.0.1 - - [19/Jul/2017:21:11:43 +0800] "GET / HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [19/Jul/2017:21:11:43 +0800] "GET /Paws/WEB-INF/classes/Utilities/DBUtil.java HTTP/1.1" 404 1055
0:0:0:0:0:0:0:1 - - [19/Jul/2017:21:12:05 +0800] "GET /Paws/accreditorProfile.jsp HTTP/1.1" 200 14785
0:0:0:0:0:0:0:1 - - [19/Jul/2017:21:12:05 +0800] "GET /Paws/fullcalendar.css HTTP/1.1" 404 1099
0:0:0:0:0:0:0:1 - - [19/Jul/2017:21:12:07 +0800] "GET /Paws/index.html HTTP/1.1" 200 12934
0:0:0:0:0:0:0:1 - - [19/Jul/2017:21:12:07 +0800] "GET /Paws/assets/vid.mp4 HTTP/1.1" 206 22005045
0:0:0:0:0:0:0:1 - - [19/Jul/2017:21:12:07 +0800] "GET /Paws/assets/vid.mp4 HTTP/1.1" 206 116021
0:0:0:0:0:0:0:1 - - [19/Jul/2017:21:12:07 +0800] "GET /Paws/assets/vid.mp4 HTTP/1.1" 206 20989237
0:0:0:0:0:0:0:1 - - [19/Jul/2017:21:12:15 +0800] "GET /Paws/assets/vid.mp4 HTTP/1.1" 206 18531637
0:0:0:0:0:0:0:1 - - [19/Jul/2017:21:12:30 +0800] "GET /Paws/assets/vid.mp4 HTTP/1.1" 206 17450293
0:0:0:0:0:0:0:1 - - [19/Jul/2017:21:13:04 +0800] "GET /Paws/notifications.jsp HTTP/1.1" 200 21829
0:0:0:0:0:0:0:1 - - [19/Jul/2017:21:13:09 +0800] "GET /Paws/chosen/chosen.css HTTP/1.1" 200 13717
0:0:0:0:0:0:0:1 - - [19/Jul/2017:21:13:09 +0800] "GET /Paws/chosen/chosen.jquery.js HTTP/1.1" 200 46080
0:0:0:0:0:0:0:1 - - [19/Jul/2017:21:13:09 +0800] "GET /Paws/ConfirmationLetter HTTP/1.1" 200 1479488
0:0:0:0:0:0:0:1 - - [19/Jul/2017:21:13:09 +0800] "GET /Paws/chosen/chosen-sprite.png HTTP/1.1" 200 538
0:0:0:0:0:0:0:1 - - [19/Jul/2017:21:13:10 +0800] "GET /Paws/InvitationAccreditorsLoader HTTP/1.1" 200 751
