127.0.0.1 - - [26/Jul/2017:12:28:47 +0800] "GET / HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [26/Jul/2017:12:28:48 +0800] "GET /Paws/infographics.html HTTP/1.1" 200 12694
0:0:0:0:0:0:0:1 - - [26/Jul/2017:12:28:48 +0800] "GET /Paws/js/jquery-ui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2017:12:28:48 +0800] "GET /Paws/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2017:12:28:48 +0800] "GET /Paws/css/vendor.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2017:12:28:48 +0800] "GET /Paws/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2017:12:28:48 +0800] "GET /Paws/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2017:12:28:48 +0800] "GET /Paws/css/dataTables.bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2017:12:28:48 +0800] "GET /Paws/js/dataTables.bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2017:12:28:48 +0800] "GET /Paws/js/jquery.dataTables.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2017:12:28:48 +0800] "GET /Paws/css/timeline.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2017:12:28:48 +0800] "GET /Paws/js/loader.js HTTP/1.1" 200 109810
0:0:0:0:0:0:0:1 - - [26/Jul/2017:12:28:48 +0800] "GET /Paws/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2017:12:28:48 +0800] "GET /Paws/assets/banner.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2017:12:28:48 +0800] "GET /Paws/css/app.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2017:12:28:48 +0800] "GET /Paws/fonts/Roboto-Thin.ttf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2017:12:28:48 +0800] "GET /Paws/fonts/Roboto-Regular.ttf HTTP/1.1" 200 126072
0:0:0:0:0:0:0:1 - - [26/Jul/2017:12:28:48 +0800] "GET /Paws/assets/vid.mp4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2017:12:28:48 +0800] "GET /favicon.ico HTTP/1.1" 404 1089
0:0:0:0:0:0:0:1 - - [26/Jul/2017:12:30:00 +0800] "GET /Paws/infographics.jsp HTTP/1.1" 200 15796
0:0:0:0:0:0:0:1 - - [26/Jul/2017:12:30:00 +0800] "GET /Paws/assets/bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2017:12:30:00 +0800] "GET /Paws/assets/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2017:12:30:00 +0800] "GET /Paws/fonts/fontawesome-webfont.woff2?v=4.3.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2017:12:30:04 +0800] "GET /Paws/infographics.jsp HTTP/1.1" 200 15796
0:0:0:0:0:0:0:1 - - [26/Jul/2017:12:31:08 +0800] "GET /Paws/infographics.jsp HTTP/1.1" 200 18445
0:0:0:0:0:0:0:1 - - [26/Jul/2017:12:31:08 +0800] "GET /Paws/js/loader.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2017:12:31:38 +0800] "GET /Paws/infographics.jsp HTTP/1.1" 200 18328
0:0:0:0:0:0:0:1 - - [26/Jul/2017:12:31:38 +0800] "GET /Paws/js/loader.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2017:12:34:11 +0800] "GET /Paws/infographics.jsp HTTP/1.1" 200 17133
0:0:0:0:0:0:0:1 - - [26/Jul/2017:12:34:11 +0800] "GET /Paws/js/loader.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2017:12:34:31 +0800] "GET /Paws/infographics.jsp HTTP/1.1" 200 17150
0:0:0:0:0:0:0:1 - - [26/Jul/2017:12:37:42 +0800] "GET /Paws/infographics.jsp HTTP/1.1" 200 17231
0:0:0:0:0:0:0:1 - - [26/Jul/2017:12:37:42 +0800] "GET /Paws/js/loader.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2017:12:37:46 +0800] "GET /Paws/infographics.jsp HTTP/1.1" 200 17231
0:0:0:0:0:0:0:1 - - [26/Jul/2017:12:37:55 +0800] "GET /Paws/infographics.jsp HTTP/1.1" 200 17231
0:0:0:0:0:0:0:1 - - [26/Jul/2017:12:38:06 +0800] "GET /Paws/infographics.jsp HTTP/1.1" 200 17162
0:0:0:0:0:0:0:1 - - [26/Jul/2017:12:38:20 +0800] "GET /Paws/infographics.jsp HTTP/1.1" 200 17162
0:0:0:0:0:0:0:1 - - [26/Jul/2017:12:39:55 +0800] "GET /Paws/infographics.jsp HTTP/1.1" 200 17200
0:0:0:0:0:0:0:1 - - [26/Jul/2017:12:39:55 +0800] "GET /Paws/js/loader.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2017:12:40:00 +0800] "GET /Paws/css/bootstrap.css.map HTTP/1.1" 404 1104
0:0:0:0:0:0:0:1 - - [26/Jul/2017:12:40:19 +0800] "GET /Paws/infographics.jsp HTTP/1.1" 200 17150
0:0:0:0:0:0:0:1 - - [26/Jul/2017:12:40:20 +0800] "GET /Paws/css/bootstrap.css.map HTTP/1.1" 404 1104
0:0:0:0:0:0:0:1 - - [26/Jul/2017:12:40:53 +0800] "GET /Paws/infographics.jsp HTTP/1.1" 200 17159
0:0:0:0:0:0:0:1 - - [26/Jul/2017:12:41:17 +0800] "GET /Paws/infographics.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2017:12:41:17 +0800] "GET /Paws/js/loader.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2017:12:41:52 +0800] "GET /Paws/infographics.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2017:12:41:57 +0800] "GET /Paws/infographics.jsp HTTP/1.1" 200 17158
0:0:0:0:0:0:0:1 - - [26/Jul/2017:12:42:00 +0800] "GET /Paws/infographics.jsp HTTP/1.1" 200 17158
